1																																																																																						
1																																																																																						
1																																																																																						
Year	Mnth	Day	LATITUDE	LONGITUDE	ELEVATION	ACMH	ACSH	AWND	DAPR	FMTM	FRGB	FRGT	MDPR	MDSF	PGTM	prcp(mm/day)	Nitrate	PSUN	SNOW	SNWD	TAVG	tmax	tmin	TOBS	TSUN	WDF1	WDF2	WDF5	WDFG	WDFM	WESD	WESF	WSF1	WSF2	WSF5	WSFG	WSFM	WT01	WT02	WT03	WT04	WT05	WT06	WT07	WT08	WT09	WT10	WT11	WT13	WT14	WT15	WT16	WT17	WT18	WT19	WT21	WT22	WV03	WV20	DAEV	DAWM	EVAP	MDEV	MDWM	MNPN	MXPN	WDMV	FRTH	GAHT	SN32	SX32	DASF	SN02	SX02	SN01	SN03	SX01	SX03	SN52	SX52	Occur	srad(W/m2)	swe(mm)	tmax(C)	tmin(C)	vp(Pa)
2000	2	4	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0.17	0	64	30	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				285.98	0	16.27	6.38	957.73
2000	2	5	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	1.09	0	0	62	29	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				212.29	0	13.39	6.89	996.73
2000	2	6	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0	0	51	26	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				322.49	0	16.93	5.16	885.57
2000	2	7	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0.55	0	59	30	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				350.02	0	17.77	3.06	766.01
2000	2	8	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0	0.68	0	65	30	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				336.69	0	18.5	5.53	909.12
2000	2	9	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	0.82	1.64	0	59	32	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				276.1	0	17	8.39	1111
2000	2	10	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	7.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				169.91	0	13.49	7.08	1011.36
2000	2	11	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	6.85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				204.74	0	11.5	3.58	792.62
2000	2	12	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	17.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				215.66	0	11.08	2.79	751.96
2000	2	13	30.5654	87.7018	49.1	0	0	0	0	0	0	0	0	0	0	22.06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39231				153.24	0	11.78	6.48	970.26
