ID	year	month	day	gwdepth
00000004	2013	7	11	7.59
00000004	2013	7	12	7.58
00000004	2013	7	13	7.62
00000004	2013	7	14	7.64
00000004	2013	7	15	7.61
00000004	2013	7	16	7.61
00000004	2013	7	17	7.62
00000004	2013	7	18	7.55
00000004	2013	7	19	7.53
00000004	2013	7	20	7.55
00000004	2013	7	21	7.58
00000004	2013	7	22	7.61
00000004	2013	7	23	7.61
00000004	2013	7	24	7.53
00000004	2013	7	25	7.48
00000004	2013	7	26	7.49
00000004	2013	7	27	7.49
00000004	2013	7	28	7.54
00000004	2013	7	29	7.61
00000004	2013	7	30	7.63
00000004	2013	7	31	7.62
00000004	2013	8	1	7.59
00000004	2013	8	2	7.6
00000004	2013	8	3	7.63
00000004	2013	8	4	7.65
00000004	2013	8	5	7.67
00000004	2013	8	6	7.67
00000004	2013	8	7	7.67
00000004	2013	8	8	7.69
00000004	2013	8	9	7.73
00000004	2013	8	10	7.75
00000004	2013	8	11	7.77
00000004	2013	8	12	7.75
00000004	2013	8	13	7.69
00000004	2013	8	14	7.57
00000004	2013	8	15	7.54
00000004	2013	8	16	7.56
00000004	2013	8	17	7.59
00000004	2013	8	18	7.63
00000004	2013	8	19	7.57
00000004	2013	8	20	7.58
00000004	2013	8	21	7.61
00000004	2013	8	22	7.61
00000004	2013	8	23	7.59
00000004	2013	8	24	7.63
00000004	2013	8	25	7.63
00000004	2013	8	26	7.61
00000004	2013	8	27	7.59
00000004	2013	8	28	7.6
00000004	2013	8	29	7.62
00000004	2013	8	30	7.64
00000004	2013	8	31	7.66
00000004	2013	9	1	7.68
00000004	2013	9	2	7.71
00000004	2013	9	3	7.74
00000004	2013	9	4	7.78
00000004	2013	9	5	7.79
00000004	2013	9	6	7.79
00000004	2013	9	7	7.79
00000004	2013	9	8	7.8
00000004	2013	9	9	7.79
00000004	2013	9	10	7.79
00000004	2013	9	11	7.79
00000004	2013	9	12	7.79
00000004	2013	9	13	7.79
00000004	2013	9	14	7.87
00000004	2013	9	15	7.91
00000004	2013	9	16	7.92
00000004	2013	9	17	7.92
00000004	2013	9	18	7.94
00000004	2013	9	19	7.93
00000004	2013	9	20	7.9
00000004	2013	9	21	7.81
00000004	2013	9	22	7.8
00000004	2013	9	23	7.83
00000004	2013	9	24	7.84
00000004	2013	9	25	7.84
00000004	2013	9	26	7.84
00000004	2013	9	27	7.84
00000004	2013	9	28	7.84
00000004	2013	9	29	7.84
00000004	2013	9	30	7.84
00000004	2013	10	1	7.84
00000004	2013	10	2	7.84
00000004	2013	10	3	7.84
00000004	2013	10	4	7.84
00000004	2013	10	5	7.84
00000004	2013	10	6	7.84
00000004	2013	10	7	7.84
00000004	2013	10	8	7.84
00000004	2013	10	9	7.84
00000004	2013	10	10	7.84
00000004	2013	10	11	7.84
00000004	2013	10	12	7.84
00000004	2013	10	13	7.84
00000004	2013	10	14	7.84
00000004	2013	10	15	7.84
00000004	2013	10	16	7.84
00000004	2013	10	17	7.84
00000004	2013	10	18	7.84
00000004	2013	10	19	7.84
00000004	2013	10	20	7.84
00000004	2013	10	21	7.84
00000004	2013	10	22	7.84
00000004	2013	10	23	7.84
00000004	2013	10	24	8.02
00000004	2013	10	25	8.26
00000004	2013	10	26	8.22
00000004	2013	10	27	8.21
00000004	2013	10	28	8.26
00000004	2013	10	29	8.28
00000004	2013	10	30	8.26
00000004	2013	10	31	8.19
00000004	2013	11	1	8.19
00000004	2013	11	2	8.26
00000004	2013	11	3	8.29
00000004	2013	11	4	8.3
00000004	2013	11	5	8.3
00000004	2013	11	6	8.25
00000004	2013	11	7	8.26
00000004	2013	11	8	8.25
00000004	2013	11	9	8.23
00000004	2013	11	10	8.24
00000004	2013	11	11	8.24
00000004	2013	11	12	8.32
00000004	2013	11	13	8.34
00000004	2013	11	14	8.27
00000004	2013	11	15	8.23
00000004	2013	11	16	8.23
00000004	2013	11	17	8.2
00000004	2013	11	18	8.28
00000004	2013	11	19	8.31
00000004	2013	11	20	8.32
00000004	2013	11	21	8.35
00000004	2013	11	22	8.34
00000004	2013	11	23	8.38
00000004	2013	11	24	8.39
00000004	2013	11	25	8.32
00000004	2013	11	26	7.94
00000004	2013	11	27	8
00000004	2013	11	28	8.06
00000004	2013	11	29	8.07
00000004	2013	11	30	8.06
00000004	2013	12	1	8.02
00000004	2013	12	2	7.99
00000004	2013	12	3	8.03
00000004	2013	12	4	8.09
00000004	2013	12	5	8.13
00000004	2013	12	6	8.18
00000004	2013	12	7	8.22
00000004	2013	12	8	8.04
00000004	2013	12	9	7.8
00000004	2013	12	10	7.83
00000004	2013	12	11	7.83
00000004	2013	12	12	7.86
00000004	2013	12	13	7.81
00000004	2013	12	14	7.73
00000004	2013	12	15	7.82
00000004	2013	12	16	7.8
00000004	2013	12	17	7.81
00000004	2013	12	18	7.86
00000004	2013	12	19	7.85
00000004	2013	12	20	7.85
00000004	2013	12	21	7.82
00000004	2013	12	22	7.65
00000004	2013	12	23	7.72
00000004	2013	12	24	7.73
00000004	2013	12	25	7.71
00000004	2013	12	26	7.74
00000004	2013	12	27	7.78
00000004	2013	12	28	7.69
00000004	2013	12	29	7.59
00000004	2013	12	30	7.64
00000004	2013	12	31	7.7
00000004	2014	1	1	7.64
00000004	2014	1	2	7.66
00000004	2014	1	3	7.76
00000004	2014	1	4	7.69
00000004	2014	1	5	7.64
00000004	2014	1	6	7.85
00000004	2014	1	7	7.87
00000004	2014	1	8	7.83
00000004	2014	1	9	7.81
00000004	2014	1	10	7.74
00000004	2014	1	11	7.7
00000004	2014	1	12	7.78
00000004	2014	1	13	7.68
